Hora del día,Dispositivos,Ancho de banda (Mbps),Tipo de tráfico,Tráfico de datos (Bytes)
14,560,52,ftp,535329.4862844319
11,717,86,web,399275.9802904979
15,1144,17,ssh,610607.3506204648
12,163,68,ssh,401163.70103631413
14,264,74,ftp,403420.45243956184
17,126,90,audio,427629.34940870287
10,1434,21,ftp,577119.1894464095
14,1111,13,video,546163.1587141155
15,384,86,video,416364.19084431493
12,380,50,ssh,352292.8813759443
11,937,16,ssh,494184.9530560751
15,930,96,ftp,605062.355687768
15,1287,97,ftp,746179.1357905262
10,1017,78,web,356734.45498598943
13,323,78,video,355502.7496787823
12,883,90,ftp,464796.5197489369
9,1269,39,audio,555038.1396561789
15,1064,82,web,375276.58784899645
13,1049,15,ftp,598645.5432119587
9,1153,98,ssh,569529.6085139068
12,144,28,ftp,397899.951660833
8,570,89,ssh,488993.09924354375
17,133,94,ssh,492163.12301518174
13,752,75,video,465474.6834970996
16,929,19,video,508053.9008815263
8,320,25,ftp,432944.57683635206
17,633,46,ftp,585476.5711965313
10,791,88,audio,379054.18102568365
14,1490,86,web,564769.5277208207
11,1031,86,web,459724.9932823692
16,940,41,ftp,642626.8504341455
10,1110,56,video,466992.6066331762
12,681,81,audio,378283.11828814045
10,1239,52,web,435773.3494390217
14,338,91,ftp,414557.8977585497
12,1458,45,video,653846.0104043008
16,540,35,video,404886.1733248912
14,247,19,video,343096.3943802361
9,1132,40,ssh,512549.77801363985
11,1411,38,video,489856.1220316489
16,487,14,ftp,454198.5057262615
9,1173,86,audio,483560.2093816794
17,1015,10,ftp,626671.4406376847
16,737,96,video,483489.577030136
17,377,12,audio,333736.2008120975
12,1088,76,web,398748.68126593117
9,1423,80,web,494412.4283122714
11,688,44,ftp,588741.6433192954
14,748,24,audio,416839.47212194937
15,717,76,ftp,596877.094412647
10,234,39,audio,281000.8199653315
8,679,91,audio,296142.2465200199
11,1270,84,ftp,598766.6734684379
9,589,52,audio,361543.79003319214
15,577,69,video,424353.0474019957
11,1282,49,audio,507892.1443236414
9,483,74,audio,412421.1708922037
13,262,38,ftp,472701.7999614667
13,540,83,web,377444.31028714107
17,1312,28,ssh,616134.0694735365
11,514,12,audio,273439.21612577804
13,1462,45,ssh,627006.692039283
9,1304,52,audio,441562.4093140431
17,387,24,ftp,552314.7478386224
9,286,50,ftp,466719.5538267735
17,1261,99,audio,562725.624831414
11,229,89,ftp,507097.1601114052
15,293,45,ftp,355097.17927383876
14,415,93,audio,378906.897567133
16,243,86,web,206067.71078478135
15,115,42,audio,268637.21507671697
12,1425,14,web,436414.6203766393
9,522,87,ftp,525986.8306048474
12,344,96,web,288209.36444804777
15,1026,23,ftp,658955.8586805894
17,1230,77,web,439405.1419533693
16,1211,92,web,503655.7194816642
16,228,56,audio,311711.1608449416
8,1006,63,web,290935.4864964224
16,986,13,ftp,537769.1770738483
14,440,92,audio,346506.0983238916
16,103,18,web,265214.6224945864
15,1450,62,audio,569186.1528778557
8,405,86,ssh,355624.95880596427
15,1007,87,audio,462884.188597642
15,706,69,ssh,601590.3224396515
10,1348,55,ssh,602661.1667420429
8,1471,63,audio,499333.72124638024
15,1091,83,ftp,659286.9820378111
10,420,46,ftp,495169.6539790985
10,658,32,ftp,474791.582625997
8,1304,36,video,543928.7387185718
12,717,79,ssh,476455.52516645956
17,810,99,audio,482466.38009147195
14,1231,75,ftp,662184.6578985642
17,630,70,ftp,570098.3913526447
16,509,86,audio,336840.82269162475
14,1419,60,ssh,592735.680796357
16,917,59,audio,490174.86523296975
15,1294,28,video,543830.1809307253
9,1454,10,video,555051.737104968
8,592,49,audio,317580.228645674
14,1318,41,ssh,649036.3387006822
14,111,31,ftp,377309.50099851715
15,294,75,video,364519.9380049559
12,589,49,video,441599.6406351566
10,894,47,ssh,560948.3849582133
15,980,57,video,473312.03544866585
13,281,64,video,451184.19909779413
10,1061,84,ssh,569862.0846846808
8,755,90,audio,333853.5869095631
10,1439,64,ftp,688252.6024294985
12,793,60,ftp,529450.0392758271
10,129,69,video,332003.42435915885
8,1219,17,ftp,590157.1876169831
12,877,95,audio,436613.68450950726
17,543,77,video,386520.3311706927
14,397,84,ftp,540903.061535818
14,907,81,web,334093.63164244837
16,944,18,web,322361.75522975024
17,1115,99,web,475868.0174573743
17,1484,11,web,567442.2123588985
10,1497,89,web,476270.34514677967
14,653,79,video,475148.6161351983
8,402,94,ssh,471067.0088431773
11,520,99,ssh,499234.22186470346
11,1369,68,video,547239.585541316
12,1360,28,video,491447.6641402963
14,284,37,audio,184922.62171643224
14,567,81,ssh,460757.97502688033
11,853,23,web,396004.36842810875
14,462,33,video,322691.7007619033
10,1406,53,web,492710.4923759383
13,435,65,ssh,386992.37349740637
9,261,99,ftp,452003.6288193419
17,1283,60,ftp,706989.5807077509
16,1445,41,video,556525.2281580786
12,111,59,audio,270224.2340348457
13,1196,50,web,408445.43316373357
11,687,75,video,465157.43294690887
17,300,34,audio,323765.8584242319
14,621,70,web,332025.3837214634
16,604,75,ssh,566217.4980070989
14,887,51,ftp,606015.3071184151
8,1162,74,audio,424882.40669368557
8,159,45,web,190006.8049601119
16,677,85,video,454105.06074601697
16,420,18,web,277015.9786312606
11,1022,45,video,608125.4638303748
16,668,47,ftp,555642.5946355498
10,1201,42,ftp,509404.8714947612
14,1317,51,web,431760.05141415173
13,1408,70,web,384981.39562520955
15,626,55,video,411210.087147708
16,623,95,video,352734.48851367855
12,712,98,audio,357820.4764465786
8,1279,70,audio,404763.923518294
10,1463,27,audio,525308.0088983739
17,224,79,web,269326.96813144395
15,970,91,audio,479648.11537493655
13,379,89,web,280072.43057157367
15,1016,24,ftp,520485.11248977913
16,721,57,ssh,528376.0684627368
11,945,81,ftp,680611.2280134726
8,773,22,web,326060.62893032737
8,1251,52,web,394903.7700341217
17,413,69,ssh,380696.64119472774
11,431,66,video,328796.6514620017
14,1273,80,video,587251.9828286029
9,135,26,video,338655.9013399687
10,1145,59,audio,471543.3087360988
8,305,41,video,361494.36448529916
12,738,31,audio,408483.91220136214
8,947,64,audio,436726.7195692959
15,1479,66,video,570876.3202369371
8,539,22,video,367496.17559875763
8,828,56,ssh,441181.1098058931
9,1219,96,ssh,587671.4476479051
9,1040,71,audio,455043.1765533456
13,263,63,ssh,483039.19036934274
14,247,38,audio,222913.4012816184
12,393,31,web,278175.3815495653
8,294,74,audio,359861.8295811798
8,762,38,audio,399342.3882919398
10,579,57,ssh,485947.27214125206
9,222,14,web,225784.7450933906
12,798,44,ftp,606516.7244887708
17,1064,83,ftp,584926.0915943816
13,760,92,ftp,493703.6667014877
14,1227,80,web,455083.2929767372
11,809,55,video,336241.8948214145
14,495,44,web,352532.2902089006
15,1011,54,ssh,615235.7597747721
8,1460,22,audio,471332.4722457737
13,1104,19,audio,426761.4701669745
15,1265,75,ssh,611882.6262424664
12,416,79,ssh,435301.032521981
11,780,81,audio,407858.69595971424
9,1433,34,video,576511.6053439152
13,594,53,video,401668.6823495761
13,655,69,video,477659.6651738897
8,709,56,ssh,482097.38885626517
16,208,49,audio,265751.82770636823
13,471,16,audio,383955.63339020486
10,954,55,audio,350387.1506938756
11,715,32,web,309391.70945892617
11,867,92,web,422745.8700537734
10,305,55,ftp,402346.34475439275
17,946,95,web,437177.7823383576
10,142,22,video,316566.9798499524
10,964,30,video,414773.806600938
11,1368,10,video,529976.1140202982
14,1410,28,video,558174.8084895395
11,1478,69,ftp,657513.1074083854
16,884,42,video,592883.7426025388
8,575,13,ssh,373344.6823277262
15,182,12,ssh,417646.51470339415
14,1233,61,ssh,577459.9491559429
9,289,37,web,166968.1905557359
15,899,79,audio,449440.71215775347
8,1035,79,ftp,618954.669219375
16,350,64,ssh,478025.47875328397
16,390,66,ssh,519113.2555327535
9,1324,96,video,705062.314496755
14,425,25,ssh,430025.71018777986
17,936,33,video,455545.3913087306
10,607,78,video,433043.71633974457
14,830,50,audio,397689.35247967544
17,171,86,web,308498.3064926115
16,1370,56,video,517141.78518171393
11,740,85,video,563916.7271200218
8,1039,78,audio,479602.4047387756
9,707,40,video,322199.79911019176
8,665,39,ftp,457048.5548842514
12,1467,27,web,507704.05220569693
12,153,53,ftp,475917.20280857274
14,627,36,ssh,399788.11863840185
16,710,35,web,375151.2925216474
16,292,69,ssh,325533.00636690384
10,157,27,video,290433.2067264477
10,1234,98,audio,551402.3421051604
10,228,65,ftp,400524.21349485096
11,805,40,ssh,410653.8850430993
15,951,68,video,506510.73981887795
13,1449,11,ftp,630064.0566682261
15,107,48,ftp,451877.9183032918
8,128,70,ssh,306333.678389097
15,1235,72,video,519368.155517345
11,1046,27,audio,326649.8839561878
8,230,26,ssh,357497.23555257416
15,287,48,ftp,448354.75308617007
11,808,80,ftp,497180.7664629965
13,1487,63,web,503589.9356883546
15,1327,85,video,634253.5150322069
11,311,44,web,228421.6028290525
10,375,20,audio,298408.3474910987
16,1196,70,ssh,617865.5624792582
10,342,53,ftp,384683.508641052
16,1225,77,video,666329.2910353797
9,1086,34,ftp,555657.5084938859
9,784,57,web,363105.81009301357
9,270,41,web,257960.76386145246
13,752,93,ssh,504920.24364421243
10,287,13,video,344239.7512529817
16,1209,47,video,557590.9610908194
11,151,72,ssh,300318.0121386297
8,210,56,web,193386.3649374956
11,976,10,web,324572.4548822969
8,1166,12,web,356112.74793269363
12,310,95,ftp,404299.8411081681
11,1323,71,audio,561421.6858373015
15,957,73,web,482999.6327306706
15,726,26,audio,432100.14879992045
14,1149,87,audio,556826.4612073571
10,398,71,video,347868.2581495922
8,1200,44,ssh,520187.1582506982
8,1023,22,ftp,516670.64765941445
10,236,44,audio,301403.2461478611
13,1143,52,ftp,630953.1526572075
14,539,11,video,379438.91442007874
13,310,65,web,324257.42720976716
13,851,86,audio,448447.0676907672
13,534,60,ssh,409867.11812397075
10,879,63,video,423254.5585432153
13,1330,25,ftp,677599.6649627073
15,538,27,web,348186.64263272984
9,765,16,ftp,533584.0116127984
12,1165,54,ssh,664844.4373936041
8,510,45,audio,396250.35828657093
8,905,50,ssh,518051.79174253816
12,709,51,ftp,485370.9670259249
10,526,16,ftp,397700.6244134116
11,1398,24,ssh,577230.9127492643
10,1001,69,ssh,572360.6723208078
8,1041,49,ssh,614032.3539655969
8,841,92,web,375072.35172053997
12,1492,46,ftp,739836.1397115618
13,1343,75,video,558834.6256906099
10,1355,64,web,484138.4562613775
16,427,86,web,349567.8414738586
12,151,89,web,135720.2862073736
15,475,65,video,381828.0598811745
8,362,53,ssh,436385.0192138935
12,366,66,ftp,479923.4167818283
10,458,15,audio,239274.24759245335
8,1440,41,audio,376993.8812136322
11,1447,83,ftp,667610.9627348997
12,751,27,video,420120.71535530605
14,145,77,audio,243303.85250858273
8,699,82,web,327954.2468513997
10,819,16,audio,397119.3373616447
9,1392,17,ftp,665434.3585363117
16,700,73,web,238704.0537533839
17,480,16,audio,273285.74510959396
13,217,50,ftp,418168.8675822632
17,215,49,video,381108.6565518732
10,359,12,ftp,452261.7006775018
15,1198,26,video,551193.4973938338
15,404,75,web,274129.1029015534
9,106,88,ftp,393818.32813450193
